latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38,-18000,America/New_York,GMT-5
,,,,,
time,temperature_2m (%C),weather_code (wmo code),precipitation (mm),wind_speed_100m (km/h),
2024-10-14T11:00,10.6,3,0,16.2,
2024-10-14T12:00,10.1,3,0,15.2,
2024-10-14T13:00,9.8,51,0.1,16.5,
2024-10-14T14:00,9.5,51,0.3,18.4,
2024-10-14T15:00,9.1,51,0.2,16.3,
2024-10-14T16:00,8.3,3,0,15.2,
2024-10-14T17:00,7.6,3,0,16.8,
2024-10-14T18:00,8.1,3,0,17.8,
2024-10-14T19:00,8.4,3,0,16.9,
2024-10-14T20:00,7.3,0,0,16.4,
2024-10-14T21:00,6.5,0,0,17.3,
2024-10-14T22:00,5.3,0,0,15.6,
2024-10-14T23:00,5,1,0,15.4,
2024-10-15T00:00,5.1,2,0,15.9,
2024-10-15T01:00,5.6,3,0,17.1,
2024-10-15T02:00,6.7,0,0,15.1,
2024-10-15T03:00,8.5,0,0,9.9,
2024-10-15T04:00,10,1,0,6,
2024-10-15T05:00,11,2,0,5.3,
2024-10-15T06:00,11.6,2,0,5.7,
2024-10-15T07:00,12,2,0,7.8,
2024-10-15T08:00,12,2,0,2.4,
2024-10-15T09:00,12,1,0,0.9,
2024-10-15T10:00,11.4,0,0,6.1,
2024-10-15T11:00,8.7,0,0,11.3,
2024-10-15T12:00,7.2,0,0,13.2,
2024-10-15T13:00,6.4,0,0,13.9,
2024-10-15T14:00,6.4,0,0,22.5,
2024-10-15T15:00,6.2,0,0,27.1,
2024-10-15T16:00,6,0,0,28,
2024-10-15T17:00,5.7,0,0,27.5,
2024-10-15T18:00,5.6,0,0,30,
2024-10-15T19:00,5.6,0,0,30,
2024-10-15T20:00,5,3,0,31,
2024-10-15T21:00,4.9,3,0,32.4,
2024-10-15T22:00,4.9,3,0,32.9,
2024-10-15T23:00,5.1,3,0,35.2,
2024-10-16T00:00,5.3,3,0,36.7,
2024-10-16T01:00,5.5,0,0,36.9,
2024-10-16T02:00,6.7,0,0,39.7,
2024-10-16T03:00,8.2,0,0,35.2,
2024-10-16T04:00,9.8,1,0,35.1,
2024-10-16T05:00,11.2,0,0,35.7,
2024-10-16T06:00,12.4,2,0,33.9,
2024-10-16T07:00,13.3,3,0,33.2,
2024-10-16T08:00,13.8,2,0,33.6,
2024-10-16T09:00,13.5,3,0,36.1,
2024-10-16T10:00,12.7,3,0,38.4,
2024-10-16T11:00,11.5,0,0,41.8,
2024-10-16T12:00,11,0,0,43.6,
2024-10-16T13:00,10.6,1,0,44.3,
2024-10-16T14:00,10.3,3,0,43,
2024-10-16T15:00,10,0,0,41.2,
2024-10-16T16:00,9.8,1,0,39.3,
2024-10-16T17:00,9.5,1,0,38.1,
2024-10-16T18:00,9.2,1,0,38.4,
2024-10-16T19:00,9.1,0,0,38,
2024-10-16T20:00,8.3,1,0,37.1,
2024-10-16T21:00,8.4,2,0,36.9,
2024-10-16T22:00,8.6,0,0,37.3,
2024-10-16T23:00,8.6,0,0,36.7,
2024-10-17T00:00,8.5,0,0,38.7,
2024-10-17T01:00,8.6,0,0,39.1,
2024-10-17T02:00,9.8,1,0,36,
2024-10-17T03:00,11.7,3,0,33,
2024-10-17T04:00,12.9,3,0,30.9,
2024-10-17T05:00,14.1,0,0,28.5,
2024-10-17T06:00,15.3,0,0,26.7,
2024-10-17T07:00,16.2,1,0,26.8,
2024-10-17T08:00,16.1,3,0,27.1,
2024-10-17T09:00,15.9,3,0,25.4,
2024-10-17T10:00,15,3,0,28.5,
2024-10-17T11:00,14.1,3,0,29.6,
2024-10-17T12:00,13.6,3,0,29.9,
2024-10-17T13:00,13.1,3,0,27.8,
2024-10-17T14:00,12.6,3,0,25.8,
2024-10-17T15:00,12.3,3,0,25.8,
2024-10-17T16:00,11.8,3,0,26,
2024-10-17T17:00,12.1,3,0,25,
2024-10-17T18:00,11.9,3,0,25.3,
2024-10-17T19:00,11.6,3,0,23.2,
2024-10-17T20:00,10.6,3,0,22.9,
2024-10-17T21:00,9.8,1,0,22.1,
2024-10-17T22:00,9.5,0,0,22.2,
2024-10-17T23:00,9.4,3,0,24.7,
2024-10-18T00:00,9.3,0,0,23.7,
2024-10-18T01:00,9.3,3,0,23.6,
2024-10-18T02:00,11,2,0,25.3,
2024-10-18T03:00,13.1,2,0,22.6,
2024-10-18T04:00,14.7,3,0,22.8,
2024-10-18T05:00,15.6,3,0,24.3,
2024-10-18T06:00,16.3,3,0,25.2,
2024-10-18T07:00,16.9,3,0,23.3,
2024-10-18T08:00,16.7,3,0,21.7,
2024-10-18T09:00,17.6,3,0,23,
2024-10-18T10:00,16.5,3,0,22.4,
2024-10-18T11:00,14.5,3,0,20.4,
2024-10-18T12:00,13,3,0,19.1,
2024-10-18T13:00,12.7,3,0,25.8,
2024-10-18T14:00,12.5,3,0,27.6,
2024-10-18T15:00,12,3,0,26.4,
2024-10-18T16:00,11.7,3,0,28,
2024-10-18T17:00,11.5,1,0,28.1,
2024-10-18T18:00,11.2,3,0,28.3,
2024-10-18T19:00,11,3,0,30,
2024-10-18T20:00,10.6,3,0,27.9,
2024-10-18T21:00,10.5,3,0,25.5,
2024-10-18T22:00,10.6,3,0,24,
2024-10-18T23:00,10.3,3,0,24.7,
2024-10-19T00:00,10.1,3,0,27.2,
2024-10-19T01:00,10.3,0,0,25.9,
2024-10-19T02:00,11.4,2,0,24.9,
2024-10-19T03:00,13,1,0,23.1,
2024-10-19T04:00,15,2,0,20.8,
2024-10-19T05:00,16.5,3,0,21.6,
2024-10-19T06:00,18,3,0,24.3,
2024-10-19T07:00,18.4,3,0,25.5,
2024-10-19T08:00,18.7,3,0,27,
2024-10-19T09:00,18.7,3,0,21.8,
2024-10-19T10:00,18.1,3,0,19,
2024-10-19T11:00,16.6,3,0,25.4,
2024-10-19T12:00,15.4,3,0,29,
2024-10-19T13:00,14.5,3,0,27.5,
2024-10-19T14:00,13.7,3,0,26.8,
2024-10-19T15:00,13.4,3,0,25.9,
2024-10-19T16:00,12.9,3,0,24,
2024-10-19T17:00,12.4,3,0,22,
2024-10-19T18:00,12.1,3,0,21.8,
2024-10-19T19:00,11.7,3,0,19.3,
2024-10-19T20:00,11.2,3,0,18.5,
2024-10-19T21:00,10.9,3,0,17.6,
2024-10-19T22:00,10.8,3,0,19.4,
2024-10-19T23:00,10.7,3,0,19.5,
2024-10-20T00:00,10.8,3,0,19.8,
2024-10-20T01:00,10.8,3,0,19.8,
2024-10-20T02:00,11.4,3,0,20.8,
2024-10-20T03:00,11.6,3,0,24.2,
2024-10-20T04:00,12.6,3,0,17.9,
